Participant ID,Crash_Rate_Total,Crash_RateN,Crash_RateT,Crash_RateP,Crash_RateFail,Crash_RateFailN,Crash_RateFailT,Crash_RateFailP
1,0.44,0.5,0,0.2,0.778,0.667,1,0.667
2,0.593,0.5,0.5,0.5,0.778,1,0.667,0.667
3,0.444,0.167,0.5,0.333,0.667,0,1,1
4,0.556,0.667,0.5,0.333,0.667,1,1,0
5,0.048,0,0.167,0,0,0,0,0
6,0.63,0.5,0.667,0.333,0.889,0.667,1,1
7,0.704,0.667,0.333,0.667,1,1,1,1
8,1,1,1,1,1,1,1,1
9,0.148,0,0.667,0,0,0,0,0
10,0.391,0.75,0.167,0.167,0.444,0.667,0.333,0.333
11,0.704,0.667,0.667,0.667,0.778,0.667,1,0.667
12,0.704,0.667,0.5,0.5,1,1,1,1
13,0.579,0.5,0.667,0.333,0.5,0.333,1,0.333
14,0.074,0,0.167,0,0.111,0,0.333,0
15,0.148,0.333,0.333,0,0,0,0,0
16,0.519,0.667,0.333,0.167,0.778,1,1,0.333
17,0.087,0,0,0,0.222,0,0,0.667
18,0.741,0.667,0.5,0.667,1,1,1,1
19,0.296,0.333,0.167,0.333,0.333,0.333,0,0.667
20,0.556,0.5,0.333,0.167,1,1,1,1
21,0.222,0.167,0,0.167,0.444,0.667,0.333,0.333
22,0.148,0.167,0.167,0.167,0.111,0,0,0.333
23,0.593,0.5,0.333,0.667,0.778,1,0.667,0.667
24,0.741,0.333,1,0.5,1,1,1,1
25,0.037,0,0,0,0.111,0.333,0,0
26,0.148,0,0.5,0.167,0,0,0,0
27,0.519,0.333,0.5,0.5,0.667,1,0.667,0.333
28,0.815,0.833,0.667,0.667,1,1,1,1
29,0.24,0.5,0.167,0,0.222,0,0.333,0.333
30,0.185,0,0.333,0,0.333,0,0.333,0.667
,,,,,,,,
N,No-NDRT,,,,,,,
T,Texting,,,,,,,
P,Phone Call,,,,,,,
