Participant ID,Mental_N,Physical_N,Temporal_N,Performance_N,Effort_N,Frustration_N,Total_N,Mental_T,Physical_T,Temporal_T,Performance_T,Effort_T,Frustration_T,Total_T,Mental_P,Physical_P,Temporal_P,Performance_P,Effort_P,Frustration_P,Total_P
1,7,5,0,10,13,5,6.7,13,5,12,4,17,17,11.3,3,4,2,8,7,16,6.7
2,13,12,15,9,10,13,12.0,18,15,19,10,18,12,15.3,20,12,20,10,18,14,14.0
4,15,8,9,16,13,9,11.7,16,8,12,8,10,3,9.5,3,5,9,8,7,4,6.0
5,13,1,7,12,3,11,7.8,18,2,17,11,17,3,11.3,19,3,19,14,17,17,14.8
6,5,0,5,6,10,0,4.3,13,3,10,10,10,0,7.7,15,13,10,7,16,4,10.8
7,2,1,1,13,3,2,3.7,11,2,3,11,13,5,7.5,13,0,10,17,15,14,11.5
8,5,4,3,10,6,7,5.8,5,7,9,10,7,3,6.8,15,5,16,13,13,15,12.8
9,2,1,2,1,1,2,1.5,14,2,8,13,17,14,11.3,5,2,10,4,16,7,7.3
10,2,1,0,6,3,2,2.3,15,11,16,15,17,12,14.3,16,6,6,10,15,8,10.2
11,12,2,18,16,17,9,12.3,20,2,17,14,18,14,14.2,16,2,17,13,15,17,13.3
12,1,1,3,15,5,4,4.8,9,3,12,13,13,14,10.7,14,2,12,14,14,13,11.5
13,2,3,3,6,15,15,7.3,12,13,4,16,12,18,12.5,18,6,15,15,16,14,14.0
14,4,2,2,3,3,5,3.2,12,6,11,5,15,20,11.5,18,4,13,13,13,12,12.2
15,4,1,2,5,4,6,3.7,11,3,2,6,9,7,6.3,15,3,8,8,11,7,8.7
16,2,2,10,10,15,10,8.2,14,10,13,7,13,10,11.2,14,10,14,7,13,10,11.3
17,1,1,1,0,1,0,0.7,5,1,3,2,2,4,2.8,10,1,13,11,5,13,8.8
18,16,4,9,15,17,15,12.7,13,5,11,14,12,11,11.0,20,9,16,17,19,17,16.3
19,10,3,2,3,6,0,4.0,15,7,13,8,16,11,11.7,17,3,16,8,18,13,12.5
20,4,3,6,9,14,15,8.5,10,2,12,7,14,12,9.5,9,3,8,12,15,10,9.5
21,1,3,1,5,1,1,2.0,16,13,9,4,8,17,11.2,10,0,3,10,7,12,7.0
22,5,2,2,7,12,4,5.3,15,5,15,10,15,5,10.8,18,4,13,5,20,7,11.2
23,2,3,0,4,10,6,4.2,7,9,13,9,8,13,9.8,17,16,19,9,17,16,15.7
24,9,1,3,12,6,0,5.2,13,0,4,16,12,0,7.5,16,1,12,15,14,0,9.7
25,9,4,13,3,16,16,10.2,5,3,7,3,10,6,5.7,12,4,14,3,7,3,7.2
26,10,10,1,1,0,0,3.7,18,10,19,16,19,16,16.3,10,10,6,10,10,10,9.3
27,12,1,9,9,10,11,8.7,17,4,9,10,14,12,11.0,11,2,6,9,12,10,8.3
28,6,2,10,15,2,17,8.7,19,9,17,17,8,19,14.8,18,6,16,14,14,18,14.3
29,11,10,8,6,11,9,9.2,16,9,13,7,13,8,11.0,16,12,16,9,14,7,12.3
30,1,1,1,7,1,1,2.0,6,2,3,12,7,4,5.7,9,1,5,15,8,2,6.7
,,,,,,,,,,,,,,,,,,,,,
N,No-NDRT,,,,,,,,,,,,,,,,,,,,
T,Texting,,,,,,,,,,,,,,,,,,,,
P,Phone Call,,,,,,,,,,,,,,,,,,,,
